y_true,y_pred
120.39,138.08
79.52,144.15
275.53,140.13
154.06,166.48
154.06,166.48
156.48,172.77
156.48,172.77
161.12,178.07
161.12,178.07
168.9,182.43
168.9,182.43
181.24,185.29
181.24,185.29
185.46,155.62
282.79,159.65
101.18,160.05
177.73,226.95
187.31,221.87
180.69,221.81
145.27,221.9
147.03,223.82
326.98,188.66
325.61,195.06
330.71,193.66
329.62,206.42
148.43,189.27
336.0,200.91
338.72,213.09
342.8,209.6
355.39,217.74
351.35,217.21
383.35,220.31
144.63,181.37
146.66,187.88
143.59,189.93
141.23,181.89
141.23,182.77
141.46,181.31
141.46,182.2
141.85,180.79
141.85,181.65
142.42,180.33
142.42,181.15
143.18,179.94
143.18,180.73
141.16,225.79
141.61,226.52
141.83,225.98
142.39,226.43
143.47,226.83
143.4,226.36
146.52,227.89
144.59,226.45
151.65,227.92
145.91,226.55
141.38,181.53
141.38,181.53
142.04,183.14
142.04,183.14
143.09,190.08
143.09,190.08
144.53,196.53
144.53,196.53
146.31,204.5
146.31,204.5
141.6,222.94
141.6,222.94
142.98,224.87
142.98,224.88
145.5,225.37
145.5,225.37
149.48,225.25
149.48,225.25
155.43,225.41
155.43,225.41
143.06,225.57
140.74,226.29
145.97,224.04
142.46,227.12
149.57,221.7
147.19,227.82
153.6,221.28
156.18,232.84
157.89,222.76
171.12,232.53
141.97,229.16
141.97,229.16
144.5,233.77
144.5,233.77
149.02,240.51
149.02,240.51
156.05,213.0
156.05,213.0
166.3,206.68
166.3,206.68
141.16,226.25
208.94,219.18
209.22,218.04
208.18,211.64
209.08,214.78
221.14,228.08
339.13,222.82
163.99,211.86
163.99,211.86
164.76,218.31
164.76,218.31
343.13,230.75
166.27,210.95
166.27,210.95
168.86,212.14
168.86,212.14
173.12,213.29
173.12,213.29
352.22,224.75
351.97,226.35
382.88,271.43
169.36,198.62
170.0,198.95
173.17,207.73
180.09,203.55
186.4,235.77
167.31,217.64
167.31,217.64
167.75,217.18
167.75,217.18
168.86,216.95
168.86,216.95
170.74,210.22
170.74,210.22
167.93,210.47
167.93,224.05
169.45,209.91
169.45,222.86
172.7,209.31
172.7,222.75
177.67,209.79
177.67,209.17
170.18,206.21
170.18,206.21
178.89,209.32
178.89,209.32
211.44,214.16
211.44,214.16
307.81,219.28
307.81,219.28
173.02,210.51
174.41,204.95
191.46,261.2
182.65,207.11
244.48,262.17
355.09,273.12
206.79,210.32
169.56,233.53
169.56,233.53
178.1,217.84
178.1,217.84
206.42,218.01
206.42,218.01
304.66,268.88
304.66,268.88
170.86,216.32
169.52,272.94
184.04,241.88
178.52,269.06
233.64,256.43
208.25,275.66
316.03,284.1
167.1,205.93
224.2,294.28
224.2,227.82
224.77,295.78
224.77,226.3
226.0,304.6
226.0,225.34
230.13,238.96
263.33,314.65
228.84,244.66
231.05,252.26
231.75,248.22
229.09,251.05
230.71,232.79
233.02,228.61
236.83,239.99
239.84,226.75
258.42,274.12
248.93,226.43
274.48,227.02
252.3,263.49
251.6,288.29
251.43,248.71
250.94,225.2
348.24,298.48
312.54,302.73
380.06,251.87
452.61,324.26
389.54,286.22
208.86,232.05
208.86,236.08
379.55,259.25
382.65,263.72
256.26,288.71
440.29,332.66
200.48,256.88
378.45,237.09
378.45,233.54
383.8,257.21
383.8,223.58
397.17,266.71
397.16,245.64
528.49,275.71
528.44,289.29
396.19,313.26
389.41,311.72
204.42,229.77
204.44,229.82
215.48,253.76
215.52,253.68
246.43,279.45
246.44,279.26
389.83,310.63
389.26,307.78
393.09,323.29
389.62,309.39
378.78,243.55
384.57,270.85
203.76,223.48
378.17,246.19
381.04,276.91
403.66,304.85
378.44,250.69
216.56,221.57
390.43,277.27
390.43,277.27
390.92,242.83
390.92,242.83
391.97,285.74
391.97,285.74
397.88,243.72
397.88,243.72
195.11,304.89
237.19,234.62
271.42,260.71
271.42,262.66
271.63,248.51
271.63,255.28
272.14,246.86
272.14,243.11
275.44,261.78
275.44,254.48
271.15,300.2
273.32,252.06
265.48,277.08
258.7,252.44
274.59,313.89
254.68,259.62
254.68,256.33
259.96,293.64
259.98,294.74
273.76,312.7
274.28,306.95
420.02,336.37
466.26,344.62
254.33,233.61
274.04,259.41
271.16,263.69
275.6,282.91
271.99,270.48
257.8,260.53
269.62,261.37
271.32,260.82
384.75,372.56
229.44,252.26
225.98,262.07
237.15,265.39
236.83,268.32
262.23,260.59
316.82,283.83
290.68,273.56
513.42,371.52
233.78,276.34
233.78,276.34
257.47,312.46
257.47,312.46
238.0,370.59
235.15,321.82
273.62,392.37
261.0,366.17
222.65,248.61
222.65,248.61
222.61,250.16
222.61,250.16
224.33,250.96
224.33,250.96
236.24,297.13
236.24,297.13
385.65,355.23
385.65,359.96
391.41,271.87
391.29,363.61
456.14,325.07
451.24,312.35
224.38,318.13
223.75,345.93
226.52,303.19
226.16,310.15
234.6,323.65
238.43,270.15
247.16,327.29
256.08,281.07
225.97,282.2
225.97,282.2
232.35,261.05
232.35,261.05
275.8,299.03
275.8,299.03
420.77,307.43
416.21,313.75
416.21,313.75
222.78,260.14
404.35,277.08
216.06,321.86
210.39,305.16
393.87,253.38
214.47,245.92
389.49,277.47
394.33,287.72
224.14,323.56
224.14,323.56
227.29,250.36
227.29,250.36
245.96,249.42
245.96,249.42
292.4,312.41
292.4,312.41
