File_Name,Charge,Y_value,M,Vibration mode,Displacement,Chemicals_1,Chemicals_2,Chemicals_3,Chemicals_4,Chemicals_5,Chemicals_6,Chemicals_7
Ag2_-1_01_1_-0.1.dat,-1,79.52,01,1,-0.1,"['Ag', '0.000000', '0.000000', '1.311183']","['Ag', '0.000000', '0.000000', '-1.311183']",,,,,
Ag2_-1_01_1_-0.2.dat,-1,82.10,01,1,-0.2,"['Ag', '0.000000', '0.000000', '1.240183']","['Ag', '0.000000', '0.000000', '-1.240183']",,,,,
Ag2_-1_01_1_-0.3.dat,-1,89.25,01,1,-0.3,"['Ag', '0.000000', '0.000000', '1.169183']","['Ag', '0.000000', '0.000000', '-1.169183']",,,,,
Ag2_-1_01_1_-0.4.dat,-1,104.82,01,1,-0.4,"['Ag', '0.000000', '0.000000', '1.098183']","['Ag', '0.000000', '0.000000', '-1.098183']",,,,,
Ag2_-1_01_1_-0.5.dat,-1,135.72,01,1,-0.5,"['Ag', '0.000000', '0.000000', '1.027183']","['Ag', '0.000000', '0.000000', '-1.027183']",,,,,
Ag2_-1_01_1_-0.7.dat,-1,302.38,01,1,-0.7,"['Ag', '0.000000', '0.000000', '0.885183']","['Ag', '0.000000', '0.000000', '-0.885183']",,,,,
Ag2_-1_01_1_0.1.dat,-1,80.55,01,1,0.1,"['Ag', '0.000000', '0.000000', '1.453183']","['Ag', '0.000000', '0.000000', '-1.453183']",,,,,
Ag2_-1_01_1_0.2.dat,-1,82.34,01,1,0.2,"['Ag', '0.000000', '0.000000', '1.524183']","['Ag', '0.000000', '0.000000', '-1.524183']",,,,,
Ag2_-1_01_1_0.3.dat,-1,84.39,01,1,0.3,"['Ag', '0.000000', '0.000000', '1.595183']","['Ag', '0.000000', '0.000000', '-1.595183']",,,,,
Ag2_-1_01_1_0.4.dat,-1,86.49,01,1,0.4,"['Ag', '0.000000', '0.000000', '1.666183']","['Ag', '0.000000', '0.000000', '-1.666183']",,,,,
Ag2_-1_01_1_1.dat,-1,96.74,01,1,1,"['Ag', '0.000000', '0.000000', '2.092183']","['Ag', '0.000000', '0.000000', '-2.092183']",,,,,
Ag2_-1_01_eq.dat,-1,79.39,01,1,0,"['Ag', '0.000000', '0.000000', '1.382183']","['Ag', '0.000000', '0.000000', '-1.382183']",,,,,
